empId,firstName,lastName,age,ctc
4,name_4,Trivedi,44,37023.0
10,name_10,Rath,59,49255.0
12,name_12,Trivedi,52,96548.0
14,name_14,Sahoo,42,99015.0
16,name_16,Reddy,59,95126.0
17,name_17,Sahoo,53,51192.0
22,name_22,Pradhan,50,83297.0
39,name_39,Sahoo,57,90999.0
42,name_42,Pradhan,46,70312.0
44,name_44,Sahoo,42,86916.0
46,name_46,Swain,49,92401.0
48,name_48,Kumar,58,93623.0
54,name_54,Kumar,42,41087.0
55,name_55,Sahoo,50,94935.0
56,name_56,Sahoo,53,63938.0
57,name_57,Pradhan,43,69204.0
61,name_61,Trivedi,46,30457.0
62,name_62,Kumar,55,91544.0
63,name_63,Swain,60,34347.0
64,name_64,"",47,34123.0
70,name_70,Reddy,52,56329.0
71,name_71,Kumar,48,46641.0
73,name_73,Sahoo,45,51413.0
74,name_74,Sahoo,53,97276.0
80,name_80,Pradhan,59,73450.0
83,name_83,"",49,45386.0
84,name_84,Swain,45,33349.0
86,name_86,Trivedi,54,55760.0
88,name_88,Rath,45,97400.0
92,name_92,Sahoo,51,38631.0
93,name_93,Kumar,59,62524.0
95,name_95,"",53,96655.0
101,name_101,Trivedi,49,46448.0
102,name_102,Pradhan,41,45019.0
108,name_108,Rath,47,73569.0
110,name_110,Pradhan,44,39613.0
112,name_112,Rath,56,49707.0
113,name_113,Rath,50,76425.0
114,name_114,Reddy,55,58184.0
118,name_118,Trivedi,51,61732.0
119,name_119,Sahoo,56,42222.0
120,name_120,Swain,47,87442.0
121,name_121,Pradhan,49,39148.0
123,name_123,"",52,41243.0
125,name_125,Reddy,42,39400.0
139,name_139,Reddy,43,37396.0
140,name_140,Kumar,55,81166.0
143,name_143,Reddy,54,87213.0
144,name_144,Kumar,54,57509.0
146,name_146,Kumar,50,65285.0
148,name_148,Rath,43,48906.0
149,name_149,Sahoo,56,50186.0
150,name_150,Reddy,50,34284.0
154,name_154,Pradhan,47,80536.0
160,name_160,Rath,55,52207.0
162,name_162,Kumar,59,67352.0
165,name_165,Trivedi,47,92969.0
166,name_166,Kumar,56,52836.0
169,name_169,Swain,57,49300.0
171,name_171,Swain,54,43555.0
172,name_172,Kumar,54,97591.0
176,name_176,Sahoo,51,50761.0
179,name_179,Sahoo,48,87481.0
